r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,b_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Alessio Sakara,James Irvin,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,,1,False,Middleweight,3,False,-5.08,-3,-7.62,-120,28,26-30,Orthodox,100,31,31-35,Orthodox,0.251953125,50.171875,16.48046875,0.095703125,0.048828125,0.0,19.74609375,0.2890625,6.3828125,2.2421875,0.125,0.0,0.0625,1.953125,False,False,False,False,False,False,False,False
Brandon Vera,Jon Jones,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Blue,KO/TKO,Elbow,1,False,Light Heavyweight,3,False,-2.54,10,-20.32,215,32,31-35,Orthodox,-235,22,21-25,Orthodox,0.8154296875,77.1572265625,37.9833984375,1.4462890625,0.8828125,0.001953125,130.990234375,0.125,86.25,39.125,2.375,1.625,0.25,113.625,False,False,False,False,False,False,False,False
Brendan Schaub,Chase Gormley,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,2.54,0,2.12,-260,27,26-30,Orthodox,220,27,26-30,Orthodox,0.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,1.0,1.0,89.0,False,False,False,False,False,False,False,False
Cheick Kongo,Paul Buentello,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,KO/TKO,Elbows,3,False,Heavyweight,3,False,5.08,-2,12.7,-345,34,31-35,Orthodox,315,36,36-40,Orthodox,0.0947265625,27.126953125,16.2392578125,1.3642578125,0.7119140625,0.0078125,85.712890625,0.625,68.4375,33.5,0.5,0.25,0.3125,88.4375,False,False,False,False,False,False,False,False
Clay Guida,Shannon Gugerty,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,SUB,Arm Triangle,2,False,Lightweight,3,False,-7.62,0,-2.54,-420,28,26-30,Orthodox,335,28,26-30,Orthodox,0.03125,81.615234375,24.240234375,6.0546875,1.779296875,0.15234375,253.279296875,0.0,29.75,9.625,3.0,1.125,0.875,114.875,False,False,False,False,False,False,False,False
Duane Ludwig,Darren Elkins,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tim Mills,Blue,KO/TKO,,1,False,Lightweight,3,False,0.0,6,-2.54,-155,31,31-35,Orthodox,135,25,21-25,Orthodox,0.25,28.0,10.75,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Eliot Marshall,Vladimir Matyushenko,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Blue,S-DEC,,3,False,Light Heavyweight,3,False,5.08,-10,7.62,145,29,26-30,Orthodox,-165,39,36-40,Orthodox,0.0,103.25,27.5,0.25,0.25,0.5,28.25,0.0,66.40625,28.875,6.84375,2.875,0.5,297.125,True,False,False,False,False,False,False,False
Eric Schafer,Jason Brilz,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Blue,U-DEC,,3,False,Light Heavyweight,3,False,10.16,-2,10.16,140,32,31-35,Orthodox,-160,34,31-35,Orthodox,0.0,71.8125,22.125,1.28125,0.28125,0.9375,87.1875,0.0,88.75,30.5,10.25,1.25,0.5,341.25,False,False,False,False,False,False,False,False
John Howard,Daniel Roberts,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Red,KO/TKO,Punch,1,False,Welterweight,3,False,-7.62,-2,-7.62,-210,27,26-30,Orthodox,175,29,26-30,Southpaw,0.5,30.5,17.0,5.0,4.0,0.75,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Junior Dos Santos,Gabriel Gonzaga,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,5.08,-4,2.54,-250,26,26-30,Orthodox,230,30,26-30,Orthodox,0.875,59.375,26.875,0.0,0.0,0.0,16.625,0.63671875,20.31640625,15.130859375,0.490234375,0.427734375,0.09375,77.81640625,True,False,False,False,False,False,False,False
Mike Pierce,Julio Paulino,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tim Mills,Red,U-DEC,,3,False,Welterweight,3,False,-10.16,-5,-7.62,-420,29,26-30,Orthodox,335,34,31-35,Orthodox,0.0,114.0,40.5,6.5,3.5,0.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Ben Saunders,Jon Fitch,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Dan Miragliotta,Blue,U-DEC,,3,False,Welterweight,3,False,5.08,-6,2.54,295,26,26-30,Orthodox,-325,32,31-35,Orthodox,0.1875,38.8125,24.1875,1.3125,0.0625,0.375,79.8125,0.00146484375,110.70068359375,40.578125,7.63427734375,3.6962890625,0.51904296875,425.21728515625,False,False,False,False,False,False,False,False
Frank Mir,Shane Carwin,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Dan Miragliotta,Blue,KO/TKO,Punches,1,True,Heavyweight,5,False,2.54,-5,-2.54,-150,30,26-30,Southpaw,140,35,31-35,Orthodox,0.8759765625,19.35137939453125,7.36834716796875,0.2310791015625,0.1881103515625,0.7255859375,14.36651611328125,0.75,14.25,6.5,0.5,0.25,0.0,16.5,False,True,False,False,False,False,False,False
Georges St-Pierre,Dan Hardy,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Red,U-DEC,,5,True,Welterweight,5,False,-2.54,1,5.08,-650,28,26-30,Orthodox,550,27,26-30,Orthodox,0.8829345703125,129.28680419921875,73.3961181640625,9.34027099609375,7.266845703125,0.798828125,759.4991455078125,0.375,96.0,42.25,2.25,0.75,0.0,246.5,False,True,False,False,False,False,False,False
Jim Miller,Mark Bocek,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Yves Lavigne,Red,U-DEC,,3,False,Lightweight,3,False,0.0,-2,-10.16,-320,26,26-30,Southpaw,290,28,26-30,Orthodox,0.75,56.03125,19.0625,2.0,1.03125,1.15625,165.96875,0.0,32.0625,13.0,2.875,1.78125,1.5,252.125,False,False,False,False,False,False,False,False
Kurt Pellegrino,Fabricio Camoes,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Yves Lavigne,Red,SUB,Rear Naked Choke,2,False,Lightweight,3,False,-5.08,-1,-7.62,-210,30,26-30,Orthodox,190,31,31-35,Orthodox,0.25,56.0390625,24.6640625,4.3828125,2.171875,0.40234375,472.66796875,0.0,71.0,22.0,5.0,5.0,2.0,146.0,False,False,False,False,False,False,False,False
Matthew Riddle,Greg Soto,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Keith Peterson,Red,DQ,,3,False,Welterweight,3,False,5.08,1,2.54,-230,24,21-25,Southpaw,190,23,21-25,Orthodox,0.0,63.875,39.25,9.375,3.625,0.75,506.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nate Diaz,Rory Markham,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Keith Peterson,Red,KO/TKO,Punches,1,False,Welterweight,3,False,0.0,-4,12.7,-235,24,21-25,Southpaw,195,28,26-30,Orthodox,0.00390625,158.453125,45.4765625,3.140625,0.81640625,1.046875,57.828125,0.5,14.5,4.0,0.0,0.0,0.0,0.5,False,False,False,False,False,False,False,False
Ricardo Almeida,Matt Brown,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Dan Miragliotta,Red,SUB,Rear Naked Choke,2,False,Welterweight,3,False,0.0,4,-2.54,-185,33,31-35,Orthodox,160,29,26-30,Orthodox,0.0,57.3125,33.328125,12.34375,5.609375,0.734375,504.265625,1.0,57.125,35.375,0.75,0.1875,2.0625,129.125,False,False,False,False,False,False,False,False
Rodney Wallace,Jared Hamman,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Blue,U-DEC,,3,False,Light Heavyweight,3,False,-15.24,0,-7.62,-160,28,26-30,Switch,140,28,26-30,Orthodox,0.0,35.0,15.0,15.0,7.0,2.0,359.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
Rousimar Palhares,Tomasz Drwal,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Red,SUB,Heel Hook,1,False,Middleweight,3,False,-12.7,2,-12.7,-220,30,26-30,Orthodox,180,28,26-30,Orthodox,0.0,23.625,10.875,5.625,2.625,2.0,316.375,0.25,70.375,29.375,5.125,2.75,0.5,131.0,False,False,False,False,False,False,False,False
Andre Winner,Rafaello Oliveira,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,U-DEC,,3,False,Lightweight,3,False,7.62,0,5.08,-190,28,26-30,Orthodox,165,28,26-30,Orthodox,1.0,57.0,30.0,1.0,0.0,0.0,187.0,0.0,77.5,25.0,7.0,5.0,2.0,510.5,False,False,False,False,False,False,False,False
Caol Uno,Gleison Tibau,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Blue,KO/TKO,Punches,1,False,Lightweight,3,False,-7.62,8,-2.54,270,34,31-35,Southpaw,-330,26,26-30,Southpaw,0.0,56.15625,29.6171875,6.39453125,2.31640625,0.078125,442.625,0.0,78.70703125,16.48828125,12.689453125,8.064453125,1.4765625,370.30078125,False,False,False,False,False,False,False,False
Charlie Brenneman,Jason High,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,U-DEC,,3,False,Welterweight,3,False,5.08,1,2.54,173,29,26-30,Orthodox,-205,28,26-30,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Gerald Harris,Mario Miranda,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Red,KO/TKO,Punches,1,False,Middleweight,3,False,-10.16,0,7.62,-155,30,26-30,Southpaw,135,30,26-30,Orthodox,0.0,81.0,21.0,2.0,1.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Jacob Volkmann,Ronys Torres,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Red,S-DEC,,3,False,Lightweight,3,False,5.08,-5,0.04,190,29,26-30,Southpaw,-230,34,31-35,Orthodox,0.0,37.0,14.5,2.0,0.5,0.5,184.5,0.0,49.0,6.0,13.0,5.0,1.0,343.0,False,False,False,False,False,False,False,False
Kenny Florian,Takanori Gomi,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Mario Yamasaki,Red,SUB,Rear Naked Choke,3,False,Lightweight,3,False,7.62,2,10.16,-360,33,31-35,Southpaw,300,31,31-35,Southpaw,0.5,68.16015625,22.947265625,5.64501953125,1.061279296875,0.654296875,139.39306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nate Quarry,Jorge Rivera,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Mario Yamasaki,Blue,KO/TKO,Punches,2,False,Middleweight,3,False,-2.54,0,-2.54,-230,38,36-40,Open Stance,190,38,36-40,Orthodox,1.046875,89.09375,38.05078125,0.28125,0.25,0.0,268.8671875,0.8291015625,84.513671875,43.017578125,2.06640625,1.0634765625,0.125,332.6083984375,False,False,False,False,False,False,False,False
Rob Emerson,Nik Lentz,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Blue,U-DEC,,3,False,Lightweight,3,False,2.54,3,5.08,130,28,26-30,Orthodox,-150,25,21-25,Orthodox,0.0625,86.28125,25.1875,6.40625,3.78125,0.03125,287.0,0.0,171.0,69.0,9.0,4.0,2.5,155.5,False,False,False,False,False,False,False,False
Ross Pearson,Dennis Siver,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dan Miragliotta,Red,U-DEC,,3,False,Lightweight,3,False,5.08,-6,-2.54,-220,25,21-25,Orthodox,180,31,31-35,Orthodox,0.0,125.5,66.5,3.5,0.0,0.0,140.0,1.140625,114.390625,27.96875,1.234375,0.046875,0.5,40.046875,True,False,False,False,False,False,False,False
Roy Nelson,Stefan Struve,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dan Miragliotta,Red,KO/TKO,Punch,1,False,Heavyweight,3,False,-27.94,11,-30.48,-350,33,31-35,Orthodox,290,22,21-25,Orthodox,1.0,35.0,8.0,2.0,1.0,0.0,82.0,0.0,62.375,30.5,0.875,0.75,2.625,207.75,True,False,False,False,False,False,False,False
Yushin Okami,Lucio Linhares,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,KO/TKO,,2,False,Middleweight,3,False,0.0,-8,1.3,-650,28,26-30,Southpaw,475,36,36-40,Orthodox,0.25,112.45703125,29.50390625,0.34765625,0.2109375,0.69140625,197.46484375,0.0,27.0,8.0,2.0,2.0,2.0,111.0,False,False,False,False,False,False,False,False
Alexander Gustafsson,Phil Davis,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Blue,SUB,Anaconda Choke,1,False,Light Heavyweight,3,False,7.62,-2,0.0,350,23,21-25,Orthodox,-440,25,21-25,Orthodox,1.0,23.0,6.0,0.0,0.0,0.0,5.0,0.0,103.0,48.0,4.0,3.0,1.0,645.0,True,True,False,False,False,False,False,False
Anderson Silva,Demian Maia,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Red,U-DEC,,5,True,Middleweight,5,False,2.54,2,12.7,-675,34,31-35,Southpaw,550,32,31-35,Southpaw,1.623046875,55.91015625,36.72265625,0.1484375,0.1328125,0.0390625,69.435546875,0.0,43.59375,17.09375,4.40625,2.296875,0.34375,182.6875,True,False,False,False,False,False,False,False
BJ Penn,Frankie Edgar,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Blue,U-DEC,,5,True,Lightweight,5,False,7.62,3,5.08,-780,31,31-35,Orthodox,620,28,26-30,Orthodox,0.125091552734375,108.011962890625,60.92388916015625,1.005767822265625,0.30712890625,0.349853515625,130.37725830078125,0.0,101.8125,43.90625,5.546875,1.9375,0.75,154.265625,False,False,False,False,False,False,False,False
DaMarques Johnson,Brad Blackburn,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Red,KO/TKO,Kick,3,False,Welterweight,3,False,7.62,-5,5.08,140,27,26-30,Orthodox,-160,32,31-35,Orthodox,0.0,28.5,11.5,0.0,0.0,0.5,38.0,0.625,163.375,51.5,0.875,0.0,0.25,105.625,False,False,False,False,False,False,False,False
Jon Madsen,Mostapha Al-Turk,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Red,U-DEC,,3,False,Heavyweight,3,False,-5.08,-6,-12.7,-245,30,26-30,Orthodox,205,36,36-40,Orthodox,0.0,100.0,26.0,1.0,0.0,0.0,0.0,0.0,17.0,5.5,4.5,0.0,0.0,48.5,True,False,False,False,False,False,False,False
Kendall Grove,Mark Munoz,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,KO/TKO,Punches,2,False,Middleweight,3,False,15.24,-5,17.78,160,27,26-30,Orthodox,-170,32,31-35,Orthodox,0.125,29.91015625,13.34375,0.52734375,0.51171875,1.10546875,54.0,0.0,48.75,24.75,4.5,1.0,0.5,103.75,False,False,False,False,False,False,False,False
Matt Hughes,Renzo Gracie,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Red,KO/TKO,Punches,3,False,Welterweight,3,False,-2.54,-7,7.62,-380,36,36-40,Switch,340,43,41-45,Orthodox,0.0,38.216657638549805,21.868409156799316,5.073293685913086,1.9083261489868164,0.2078437805175781,354.1338939666748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nick Osipczak,Rick Story,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,S-DEC,,3,False,Welterweight,3,False,12.7,0,12.7,145,25,21-25,Orthodox,-165,25,21-25,Southpaw,0.0,65.5,30.0,0.5,0.5,1.0,193.0,0.0,117.5,33.25,3.5,2.75,2.0,258.75,True,False,False,False,False,False,False,False
Paul Kelly,Matt Veach,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Red,SUB,Guillotine Choke,2,False,Lightweight,3,False,-5.08,-3,1.27,220,25,21-25,Orthodox,-260,28,26-30,Orthodox,0.0,96.4375,27.4375,2.75,1.25,0.5625,241.75,0.5,35.5,9.5,6.0,2.0,0.0,102.0,False,False,False,False,False,False,False,False
Terry Etim,Rafael Dos Anjos,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,SUB,Armbar,2,False,Lightweight,3,False,12.7,-1,7.62,-135,24,21-25,Orthodox,125,25,21-25,Southpaw,0.15625,60.953125,23.015625,0.265625,0.125,1.328125,50.140625,0.0,116.25,38.375,7.875,3.5,1.625,352.25,False,False,False,False,False,False,False,False
Jason MacDonald,John Salter,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Blue,KO/TKO,,1,False,Middleweight,3,False,5.08,9,15.24,-175,34,31-35,Orthodox,155,25,21-25,Southpaw,0.0,8.7890625,4.80859375,2.1875,0.552734375,0.443359375,96.01171875,0.0,72.0,7.0,4.0,1.0,0.0,88.0,False,False,False,False,False,False,False,False
Joey Beltran,Tim Hague,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Red,U-DEC,,3,False,Heavyweight,3,False,-7.62,2,-2.54,190,28,26-30,Orthodox,-230,26,26-30,Orthodox,0.0,49.0,22.0,0.0,0.0,0.0,84.0,0.0,36.5,17.0,0.75,0.75,0.75,138.0,True,False,False,False,False,False,False,False
Josh Koscheck,Paul Daley,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Red,U-DEC,,3,False,Welterweight,3,False,2.54,5,-7.62,-250,32,31-35,Orthodox,230,27,26-30,Orthodox,0.32080078125,41.206024169921875,15.23626708984375,2.258819580078125,1.052947998046875,0.501861572265625,137.10006713867188,0.5,41.5,17.5,0.0,0.0,0.0,1.5,False,True,False,False,False,False,False,False
Kevin Ferguson,Matt Mitrione,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Blue,KO/TKO,Punches,2,False,Heavyweight,3,False,-2.54,5,-5.08,-103,36,36-40,Orthodox,-107,31,31-35,Switch,0.0,66.0,27.0,4.0,4.0,1.0,199.0,1.0,34.0,14.0,0.0,0.0,0.0,63.0,True,True,False,False,False,False,False,False
Lyoto Machida,Mauricio Rua,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Yves Lavigne,Blue,KO/TKO,Punches,1,True,Light Heavyweight,5,False,0.0,3,-5.08,-190,31,31-35,Southpaw,175,28,26-30,Orthodox,1.109375,78.671875,32.8203125,1.015625,0.375,0.1796875,72.3125,0.5,103.125,57.125,4.0,0.75,0.25,150.0,True,False,False,False,False,False,False,False
Marcus Davis,Jonathan Goulet,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Philippe Chartier,Red,KO/TKO,Punches,2,False,Welterweight,3,False,-5.08,6,-7.62,-440,36,36-40,Southpaw,350,30,26-30,Orthodox,0.0205078125,49.2763671875,19.0390625,2.87548828125,0.6708984375,0.88720703125,134.43994140625,0.5,24.0546875,10.046875,1.109375,0.53125,0.1328125,45.6328125,False,False,False,False,False,False,False,False
Patrick Cote,Alan Belcher,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Blue,SUB,Rear Naked Choke,2,False,Middleweight,3,False,-7.62,4,-5.08,107,30,26-30,Orthodox,-117,26,26-30,Orthodox,0.1953125,49.82421875,18.953125,1.73828125,0.0390625,0.0625,57.32421875,0.751953125,78.259765625,35.087890625,0.064453125,0.037109375,0.13671875,31.576171875,False,False,False,False,False,False,False,False
Sam Stout,Jeremy Stephens,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Blue,S-DEC,,3,False,Lightweight,3,False,2.54,3,-2.54,-190,26,26-30,Orthodox,175,23,21-25,Orthodox,0.25,235.3984375,75.078125,0.1875,0.125,0.0,125.0625,1.078125,46.0390625,24.6328125,0.28125,0.21875,0.09375,75.1171875,False,False,False,False,False,False,False,False
TJ Grant,Johny Hendricks,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Marc-Andre Cote,Blue,M-DEC,,3,False,Welterweight,3,False,2.54,0,7.62,325,26,26-30,Orthodox,-400,26,26-30,Southpaw,0.5,50.0,28.0,3.75,1.5,0.0,158.5,0.5,49.0,28.0,7.0,3.5,2.0,300.0,False,True,False,False,False,False,False,False
Tom Lawlor,Joe Doerksen,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Yves Lavigne,Blue,SUB,Rear Naked Choke,2,False,Middleweight,3,False,0.0,-6,-2.54,-600,26,26-30,Southpaw,450,32,31-35,Orthodox,0.0,69.75,29.5,7.75,2.25,1.25,249.0,0.125,19.65625,8.46875,3.46875,1.3125,2.4375,171.34375,False,False,False,False,False,False,False,False
Yoshiyuki Yoshida,Mike Guymon,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Philippe Chartier,Blue,U-DEC,,3,False,Welterweight,3,False,-2.54,0,-10.16,-255,35,31-35,Southpaw,215,35,31-35,Orthodox,0.0,4.5,1.875,0.125,0.125,0.375,21.5,0.0,18.0,6.0,3.0,0.0,0.0,8.0,False,False,False,False,False,False,False,False
Aaron Riley,Joe Brammer,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Steve Mazzagatti,Red,U-DEC,,3,False,Lightweight,3,False,0.0,3,-2.54,-200,29,26-30,Southpaw,170,26,26-30,Orthodox,0.0,86.78125,28.625,2.53125,0.625,0.03125,141.40625,0.0,19.0,3.0,0.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False
Amir Sadollah,Dong Hyun Kim,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Steve Mazzagatti,Blue,U-DEC,,3,False,Welterweight,3,False,-10.16,1,-5.08,100,29,26-30,Orthodox,-110,28,26-30,Southpaw,0.0,138.25,77.5,1.25,1.0,0.25,233.5,0.0,53.25,30.375,6.125,3.25,1.125,508.25,False,False,False,False,False,False,False,False
Diego Sanchez,John Hathaway,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Herb Dean,Blue,U-DEC,,3,False,Welterweight,3,False,-7.62,6,-7.62,-215,28,26-30,Southpaw,195,22,21-25,Orthodox,0.3828125,124.507568359375,36.771240234375,15.20458984375,0.44775390625,1.018310546875,233.299560546875,0.0,104.25,52.25,7.25,4.75,0.75,566.25,False,True,False,False,False,False,False,False
Efrain Escudero,Dan Lauzon,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Josh Rosenthal,Red,U-DEC,,3,False,Lightweight,3,False,-2.54,2,-5.2,-400,24,21-25,Orthodox,355,22,21-25,Orthodox,0.75,56.25,22.25,2.75,2.0,1.0,227.25,0.5,24.5,9.0,3.0,1.5,0.0,132.5,False,False,False,False,False,False,False,False
Jason Brilz,Rogerio Nogueira,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Yves Lavigne,Blue,S-DEC,,3,False,Light Heavyweight,3,False,-7.62,1,-10.16,435,34,31-35,Orthodox,-500,33,31-35,Southpaw,0.0,116.875,50.25,8.125,2.125,0.75,386.625,1.0,28.0,14.0,0.0,0.0,0.0,2.0,False,True,False,False,False,False,False,False
Jesse Forbes,Ryan Jensen,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Josh Rosenthal,Blue,SUB,Guillotine Choke,1,False,Middleweight,3,False,2.54,-7,-2.54,-150,25,21-25,Southpaw,130,32,31-35,Orthodox,0.0,90.5,20.5,0.5,0.0,0.0,34.0,0.0,23.0625,11.3125,1.5,0.5,0.8125,73.0,False,False,False,False,False,False,False,False
Luiz Cane,Cyrille Diabate,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Herb Dean,Blue,KO/TKO,Punches,1,False,Light Heavyweight,3,False,-10.16,-7,-10.16,-310,29,26-30,Southpaw,255,36,36-40,Southpaw,0.3125,75.5,29.875,0.3125,0.0625,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Melvin Guillard,Waylon Lowe,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Yves Lavigne,Red,KO/TKO,Knee,1,False,Lightweight,3,False,5.08,-2,7.72,-370,27,26-30,Orthodox,310,29,26-30,Southpaw,0.39453125,59.45703125,22.42578125,1.314453125,0.939453125,0.001953125,63.32421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
