r_fighter,b_fighter,date,location,winner,titlebout,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_currentlosestreak,b_currentwinstreak,b_draws,b_longestwinstreak,b_wins,b_losses,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_totalroundsfought,b_totaltitlebouts,b_avgsigstrlanded,b_avgsigstrpct,b_avgsubatt,b_avgtdlanded,b_avgtdpct,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_currentlosestreak,r_currentwinstreak,r_draws,r_longestwinstreak,r_wins,r_losses,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_totalroundsfought,r_totaltitlebouts,r_avgsigstrlanded,r_avgsigstrpct,r_avgsubatt,r_avgtdlanded,r_avgtdpct
Alessio Sakara,James Irvin,2010-03-21,"Broomfield, Colorado, USA",Red,False,Middleweight,31.0,Orthodox,187.96,190.5,205.0,1.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,0.0,10.0,0.0,5.25,0.56,0.12,0.0,0.0,28.0,Orthodox,182.88,182.88,185.0,0.0,2.0,0.0,2.0,5.0,5.0,3.0,0.0,0.0,15.0,0.0,20.8,0.46,0.0,1.0,0.15
Brandon Vera,Jon Jones,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,22.0,Orthodox,193.04,213.36,205.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,9.0,0.0,39.0,0.48,0.25,2.5,0.52,32.0,Orthodox,190.5,193.04,230.0,1.0,0.0,0.0,4.0,7.0,4.0,4.0,1.0,0.0,23.0,0.0,30.73,0.57,0.09,0.55,0.36
Brendan Schaub,Chase Gormley,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,27.0,Orthodox,190.5,196.0,265.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.34,1.0,1.0,1.0,27.0,Orthodox,193.04,198.12,245.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,0.25,0.0,0.0,0.0
Cheick Kongo,Paul Buentello,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,36.0,Orthodox,187.96,195.58,245.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,8.0,1.0,25.8,0.47,0.4,0.2,0.1,34.0,Orthodox,193.04,208.28,240.0,2.0,0.0,0.0,3.0,7.0,4.0,4.0,0.0,1.0,22.0,0.0,32.91,0.6,0.27,1.18,0.48
Clay Guida,Shannon Gugerty,2010-03-21,"Broomfield, Colorado, USA",Red,False,Lightweight,28.0,Orthodox,177.8,180.34,155.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,7.0,0.0,10.75,0.33,1.25,1.25,0.66,28.0,Orthodox,170.18,177.8,155.0,2.0,0.0,0.0,3.0,5.0,5.0,1.0,1.0,0.0,26.0,0.0,33.1,0.39,0.6,3.4,0.38
Duane Ludwig,Darren Elkins,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Lightweight,25.0,Orthodox,177.8,180.34,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.0,Orthodox,177.8,177.8,170.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,13.67,0.58,0.0,0.0,0.0
Eliot Marshall,Vladimir Matyushenko,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,39.0,Orthodox,182.88,187.96,205.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,16.0,1.0,22.17,0.51,0.17,2.5,0.48,29.0,Orthodox,187.96,195.58,205.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,27.0,0.34,0.67,0.33,0.33
Eric Schafer,Jason Brilz,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,34.0,Orthodox,180.34,180.34,205.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,31.67,0.46,0.67,1.67,0.5,32.0,Orthodox,190.5,190.5,185.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,9.0,0.0,15.67,0.59,1.33,0.83,0.14
John Howard,Daniel Roberts,2010-03-21,"Broomfield, Colorado, USA",Red,False,Welterweight,29.0,Southpaw,177.8,187.96,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.0,Orthodox,170.18,180.34,170.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,9.0,0.0,18.0,0.55,1.0,4.67,0.79
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,30.0,Orthodox,187.96,193.04,242.0,0.0,1.0,0.0,4.0,7.0,3.0,5.0,2.0,0.0,16.0,1.0,13.7,0.55,0.7,1.2,0.57,26.0,Orthodox,193.04,195.58,238.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,6.0,0.0,25.75,0.54,0.0,0.0,0.0
Mike Pierce,Julio Paulino,2010-03-21,"Broomfield, Colorado, USA",Red,False,Welterweight,34.0,Orthodox,182.88,185.42,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29.0,Orthodox,172.72,177.8,170.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,40.5,0.4,0.0,3.5,0.52
Ben Saunders,Jon Fitch,2010-03-27,"Newark, New Jersey, USA",Blue,False,Welterweight,32.0,Orthodox,182.88,193.04,170.0,0.0,3.0,0.0,8.0,11.0,1.0,1.0,3.0,0.0,34.0,1.0,32.83,0.5,0.92,3.08,0.56,26.0,Orthodox,187.96,195.58,170.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,9.0,0.0,28.0,0.67,1.2,0.2,0.2
Frank Mir,Shane Carwin,2010-03-27,"Newark, New Jersey, USA",Blue,True,Heavyweight,35.0,Orthodox,187.96,203.2,265.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,7.33,0.44,0.0,0.33,0.17,30.0,Southpaw,190.5,200.66,264.0,0.0,1.0,0.0,4.0,11.0,4.0,2.0,7.0,0.0,20.0,3.0,10.33,0.52,1.27,0.8,0.35
Georges St-Pierre,Dan Hardy,2010-03-27,"Newark, New Jersey, USA",Red,True,Welterweight,27.0,Orthodox,182.88,187.96,170.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,36.25,0.41,0.0,0.5,0.31,28.0,Orthodox,180.34,193.04,185.0,0.0,6.0,0.0,6.0,13.0,2.0,5.0,2.0,0.0,38.0,8.0,48.2,0.58,1.07,3.4,0.75
Jim Miller,Mark Bocek,2010-03-27,"Newark, New Jersey, USA",Red,False,Lightweight,28.0,Orthodox,172.72,190.5,155.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,3.0,0.0,12.0,0.0,16.83,0.36,1.33,2.33,0.54,26.0,Southpaw,172.72,180.34,155.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,2.0,0.0,15.0,0.0,29.0,0.37,1.83,2.5,0.39
Kurt Pellegrino,Fabricio Camoes,2010-03-27,"Newark, New Jersey, USA",Red,False,Lightweight,31.0,Orthodox,177.8,185.42,155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,22.0,0.3,2.0,5.0,1.0,30.0,Orthodox,172.72,177.8,155.0,0.0,3.0,0.0,3.0,6.0,3.0,1.0,3.0,0.0,20.0,0.0,22.44,0.48,0.56,2.11,0.61
Matthew Riddle,Greg Soto,2010-03-27,"Newark, New Jersey, USA",Red,False,Welterweight,23.0,Orthodox,180.34,185.42,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,Southpaw,185.42,187.96,170.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,45.75,0.64,1.0,3.75,0.5
Nate Diaz,Rory Markham,2010-03-27,"Newark, New Jersey, USA",Red,False,Welterweight,28.0,Orthodox,182.88,180.34,170.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.28,0.0,0.0,0.0,24.0,Southpaw,182.88,193.04,170.0,1.0,0.0,0.0,5.0,6.0,3.0,0.0,5.0,0.0,20.0,1.0,23.0,0.41,1.44,1.33,0.48
Ricardo Almeida,Matt Brown,2010-03-27,"Newark, New Jersey, USA",Red,False,Welterweight,29.0,Orthodox,182.88,190.5,170.0,0.0,3.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,11.0,0.0,32.8,0.62,1.8,0.4,0.3,33.0,Orthodox,182.88,187.96,170.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,2.0,0.0,16.0,0.0,19.14,0.59,1.43,2.86,0.49
Rodney Wallace,Jared Hamman,2010-03-27,"Newark, New Jersey, USA",Blue,False,Light Heavyweight,28.0,Orthodox,190.5,190.5,185.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.35,0.0,0.0,0.0,28.0,Switch,175.26,182.88,205.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,15.0,0.42,2.0,7.0,0.46
Rousimar Palhares,Tomasz Drwal,2010-03-27,"Newark, New Jersey, USA",Red,False,Middleweight,28.0,Orthodox,185.42,193.04,205.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,6.0,0.0,28.75,0.46,0.25,2.25,0.68,30.0,Orthodox,172.72,180.34,170.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,9.0,0.0,12.75,0.34,1.75,2.75,0.58
Andre Winner,Rafaello Oliveira,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Lightweight,28.0,Orthodox,172.72,180.34,155.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,25.0,0.36,2.0,5.0,0.71,28.0,Orthodox,180.34,185.42,155.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,30.0,0.52,0.0,0.0,0.0
Caol Uno,Gleison Tibau,2010-03-31,"Charlotte, North Carolina, USA",Blue,False,Lightweight,26.0,Southpaw,177.8,180.34,155.0,0.0,1.0,0.0,3.0,6.0,4.0,0.0,2.0,0.0,24.0,0.0,13.0,0.35,1.0,4.7,0.55,34.0,Southpaw,170.18,177.8,155.0,4.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.0,26.0,2.0,28.89,0.49,0.22,2.22,0.34
Charlie Brenneman,Jason High,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Welterweight,28.0,Southpaw,172.72,180.34,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29.0,Orthodox,177.8,182.88,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gerald Harris,Mario Miranda,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Middleweight,30.0,Orthodox,190.5,187.96,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,Southpaw,180.34,195.58,185.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,21.0,0.25,0.0,1.0,0.5
Jacob Volkmann,Ronys Torres,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Lightweight,34.0,Orthodox,170.18,180.3,155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.12,1.0,5.0,0.38,29.0,Southpaw,175.26,180.34,155.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,14.5,0.39,0.5,0.5,0.12
Kenny Florian,Takanori Gomi,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Lightweight,31.0,Southpaw,170.18,177.8,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33.0,Southpaw,177.8,187.96,145.0,0.0,1.0,0.0,6.0,10.0,3.0,2.0,6.0,1.0,28.0,3.0,23.62,0.49,0.85,1.54,0.48
Nate Quarry,Jorge Rivera,2010-03-31,"Charlotte, North Carolina, USA",Blue,False,Middleweight,38.0,Orthodox,185.42,185.42,185.0,0.0,2.0,0.0,2.0,6.0,5.0,3.0,0.0,0.0,21.0,0.0,28.18,0.53,0.09,0.55,0.18,38.0,Open Stance,182.88,182.88,185.0,0.0,2.0,0.0,3.0,7.0,2.0,5.0,0.0,0.0,15.0,1.0,31.0,0.39,0.0,0.11,0.11
Rob Emerson,Nik Lentz,2010-03-31,"Charlotte, North Carolina, USA",Blue,False,Lightweight,25.0,Orthodox,172.72,172.72,155.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,69.0,0.42,2.5,4.0,0.55,28.0,Orthodox,175.26,177.8,155.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,14.0,0.0,26.83,0.43,0.17,1.67,0.34
Ross Pearson,Dennis Siver,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Lightweight,31.0,Orthodox,167.64,177.8,145.0,0.0,3.0,0.0,3.0,4.0,3.0,3.0,1.0,0.0,13.0,0.0,20.0,0.33,0.29,0.29,0.21,25.0,Orthodox,172.72,175.26,155.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,66.5,0.52,0.0,0.0,0.0
Roy Nelson,Stefan Struve,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Heavyweight,22.0,Orthodox,210.82,213.36,265.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,7.0,0.0,17.5,0.47,3.0,0.5,0.5,33.0,Orthodox,182.88,182.88,263.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.22,0.0,1.0,0.5
Yushin Okami,Lucio Linhares,2010-03-31,"Charlotte, North Carolina, USA",Red,False,Middleweight,36.0,Orthodox,187.96,189.2,185.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.29,2.0,2.0,1.0,28.0,Southpaw,187.96,190.5,170.0,1.0,0.0,0.0,4.0,7.0,2.0,3.0,0.0,0.0,26.0,0.0,29.11,0.4,0.89,1.89,0.44
Alexander Gustafsson,Phil Davis,2010-04-10,"Abu Dhabi, United Arab Emirates",Blue,False,Light Heavyweight,25.0,Orthodox,187.96,200.66,205.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,48.0,0.46,1.0,3.0,0.75,23.0,Orthodox,195.58,200.66,205.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.26,0.0,0.0,0.0
Anderson Silva,Demian Maia,2010-04-10,"Abu Dhabi, United Arab Emirates",Red,True,Middleweight,32.0,Southpaw,185.42,182.88,170.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,5.0,0.0,12.0,0.0,12.29,0.49,1.29,1.57,0.42,34.0,Southpaw,187.96,195.58,185.0,0.0,10.0,0.0,10.0,10.0,0.0,7.0,2.0,0.0,19.0,6.0,30.2,0.77,0.3,0.2,0.2
BJ Penn,Frankie Edgar,2010-04-10,"Abu Dhabi, United Arab Emirates",Blue,True,Lightweight,28.0,Orthodox,167.64,172.72,145.0,0.0,3.0,0.0,3.0,6.0,1.0,1.0,1.0,0.0,18.0,0.0,46.0,0.48,0.29,4.0,0.35,31.0,Orthodox,175.26,177.8,155.0,0.0,2.0,0.0,3.0,11.0,5.0,5.0,4.0,1.0,45.0,9.0,38.75,0.62,0.69,1.31,0.42
DaMarques Johnson,Brad Blackburn,2010-04-10,"Abu Dhabi, United Arab Emirates",Red,False,Welterweight,32.0,Orthodox,177.8,185.42,170.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,0.0,58.75,0.38,0.25,0.0,0.0,27.0,Orthodox,185.42,190.5,170.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,11.5,0.44,0.5,0.0,0.0
Jon Madsen,Mostapha Al-Turk,2010-04-10,"Abu Dhabi, United Arab Emirates",Red,False,Heavyweight,36.0,Orthodox,187.96,195.58,245.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.5,0.36,0.0,0.0,0.0,30.0,Orthodox,182.88,182.88,240.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,0.26,0.0,0.0,0.0
Kendall Grove,Mark Munoz,2010-04-10,"Abu Dhabi, United Arab Emirates",Blue,False,Middleweight,32.0,Orthodox,182.88,182.88,185.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,27.67,0.48,0.67,1.0,0.39,27.0,Orthodox,198.12,200.66,185.0,0.0,1.0,0.0,3.0,6.0,3.0,2.0,2.0,0.0,16.0,1.0,20.89,0.43,1.44,0.33,0.33
Matt Hughes,Renzo Gracie,2010-04-10,"Abu Dhabi, United Arab Emirates",Red,False,Welterweight,43.0,Orthodox,177.8,177.8,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36.0,Switch,175.26,185.42,170.0,0.0,1.0,0.0,6.0,16.0,5.0,5.0,4.0,2.0,45.0,12.0,21.05,0.55,0.71,2.24,0.58
Nick Osipczak,Rick Story,2010-04-10,"Abu Dhabi, United Arab Emirates",Blue,False,Welterweight,25.0,Southpaw,175.26,180.34,170.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,28.67,0.29,2.33,3.0,0.8,25.0,Orthodox,187.96,193.04,170.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,30.0,0.46,1.0,0.5,0.5
Paul Kelly,Matt Veach,2010-04-10,"Abu Dhabi, United Arab Emirates",Red,False,Lightweight,28.0,Orthodox,180.34,176.53,155.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,9.5,0.28,0.0,2.0,0.33,25.0,Orthodox,175.26,177.8,155.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,13.0,0.0,37.6,0.3,0.6,1.6,0.73
Terry Etim,Rafael Dos Anjos,2010-04-10,"Abu Dhabi, United Arab Emirates",Blue,False,Lightweight,25.0,Southpaw,172.72,177.8,170.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,32.25,0.34,1.75,2.75,0.36,24.0,Orthodox,185.42,185.42,155.0,0.0,4.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,16.0,0.0,25.43,0.44,1.14,0.14,0.14
Jason MacDonald,John Salter,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Middleweight,25.0,Southpaw,185.42,187.96,185.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,0.09,0.0,1.0,0.25,34.0,Orthodox,190.5,203.2,185.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,3.0,0.0,19.0,0.0,12.2,0.6,1.0,0.8,0.23
Joey Beltran,Tim Hague,2010-05-08,"Montreal, Quebec, Canada",Red,False,Heavyweight,26.0,Orthodox,193.04,193.04,260.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,11.33,0.16,0.67,0.67,0.67,28.0,Orthodox,185.42,190.5,185.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,22.0,0.44,0.0,0.0,0.0
Josh Koscheck,Paul Daley,2010-05-08,"Montreal, Quebec, Canada",Red,False,Welterweight,27.0,Orthodox,175.26,193.04,170.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,17.5,0.41,0.0,0.0,0.0,32.0,Orthodox,177.8,185.42,170.0,0.0,2.0,0.0,5.0,12.0,4.0,5.0,3.0,0.0,32.0,0.0,17.69,0.4,0.38,1.81,0.54
Kevin Ferguson,Matt Mitrione,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Heavyweight,31.0,Switch,190.5,200.66,265.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,14.0,0.41,0.0,0.0,0.0,36.0,Orthodox,187.96,195.58,235.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.4,1.0,4.0,1.0
Lyoto Machida,Mauricio Rua,2010-05-08,"Montreal, Quebec, Canada",Blue,True,Light Heavyweight,28.0,Orthodox,185.42,193.04,205.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,12.0,1.0,48.25,0.56,0.5,1.5,0.23,31.0,Southpaw,185.42,187.96,185.0,0.0,8.0,0.0,8.0,8.0,0.0,2.0,1.0,0.0,22.0,2.0,43.5,0.59,0.88,1.12,0.42
Marcus Davis,Jonathan Goulet,2010-05-08,"Montreal, Quebec, Canada",Red,False,Welterweight,30.0,Orthodox,182.88,185.42,170.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,1.0,1.0,13.0,0.0,9.5,0.34,0.25,1.25,0.33,36.0,Southpaw,177.8,177.8,170.0,2.0,0.0,0.0,6.0,8.0,4.0,2.0,4.0,0.0,23.0,0.0,23.0,0.5,0.92,0.92,0.31
Patrick Cote,Alan Belcher,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Middleweight,26.0,Orthodox,187.96,185.42,185.0,0.0,1.0,0.0,2.0,6.0,4.0,2.0,2.0,1.0,21.0,0.0,26.5,0.38,0.4,0.3,0.16,30.0,Orthodox,180.34,180.34,170.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,21.0,2.0,22.0,0.43,0.11,0.22,0.09
Sam Stout,Jeremy Stephens,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Lightweight,23.0,Orthodox,172.72,180.34,145.0,0.0,1.0,0.0,2.0,4.0,4.0,2.0,0.0,1.0,19.0,0.0,24.75,0.46,0.38,0.75,0.44,26.0,Orthodox,175.26,177.8,155.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,22.0,0.0,53.75,0.25,0.0,0.12,0.12
TJ Grant,Johny Hendricks,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Welterweight,26.0,Southpaw,175.26,175.26,185.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,28.0,0.52,2.0,3.5,0.25,26.0,Orthodox,177.8,182.88,155.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,28.0,0.55,0.0,1.67,0.43
Tom Lawlor,Joe Doerksen,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Middleweight,32.0,Orthodox,182.88,190.5,185.0,4.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,16.0,0.0,10.33,0.53,1.83,2.0,0.46,26.0,Southpaw,182.88,187.96,205.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,22.0,0.34,1.0,2.67,0.17
Yoshiyuki Yoshida,Mike Guymon,2010-05-08,"Montreal, Quebec, Canada",Blue,False,Welterweight,35.0,Orthodox,182.88,187.96,170.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.33,0.0,0.0,0.0,35.0,Southpaw,180.34,177.8,170.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.75,0.34,0.5,0.25,0.25
Aaron Riley,Joe Brammer,2010-05-29,"Las Vegas, Nevada, USA",Red,False,Lightweight,26.0,Orthodox,172.72,177.8,155.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.15,0.0,0.0,0.0,29.0,Southpaw,172.72,175.26,155.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,13.0,0.0,38.5,0.38,0.17,0.83,0.32
Amir Sadollah,Dong Hyun Kim,2010-05-29,"Las Vegas, Nevada, USA",Blue,False,Welterweight,28.0,Southpaw,187.96,193.04,170.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,12.0,0.0,34.25,0.57,1.0,3.0,0.58,29.0,Orthodox,177.8,187.96,170.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,8.0,1.0,56.25,0.44,0.5,0.5,0.25
Diego Sanchez,John Hathaway,2010-05-29,"Las Vegas, Nevada, USA",Blue,False,Welterweight,22.0,Orthodox,185.42,190.5,170.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,43.0,0.47,1.0,4.67,0.65,28.0,Southpaw,177.8,182.88,170.0,1.0,0.0,0.0,6.0,10.0,3.0,5.0,0.0,0.0,34.0,2.0,33.54,0.43,1.0,1.38,0.34
Efrain Escudero,Dan Lauzon,2010-05-29,"Las Vegas, Nevada, USA",Red,False,Lightweight,22.0,Orthodox,177.8,183.0,155.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.36,0.0,1.5,0.7,24.0,Orthodox,175.26,177.8,155.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,21.0,0.42,0.67,2.67,0.62
Jason Brilz,Rogerio Nogueira,2010-05-29,"Las Vegas, Nevada, USA",Blue,False,Light Heavyweight,33.0,Southpaw,187.96,190.5,205.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,0.5,0.0,0.0,0.0,34.0,Orthodox,180.34,180.34,205.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,11.0,0.0,41.25,0.46,0.75,2.0,0.5
Jesse Forbes,Ryan Jensen,2010-05-29,"Las Vegas, Nevada, USA",Blue,False,Middleweight,32.0,Orthodox,185.42,193.04,185.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,6.0,0.0,12.2,0.51,0.6,0.6,0.4,25.0,Southpaw,187.96,190.5,185.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,20.5,0.31,0.0,0.0,0.0
Luiz Cane,Cyrille Diabate,2010-05-29,"Las Vegas, Nevada, USA",Blue,False,Light Heavyweight,36.0,Southpaw,198.12,205.74,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29.0,Southpaw,187.96,195.58,185.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,8.0,0.0,31.0,0.42,0.0,0.2,0.2
Melvin Guillard,Waylon Lowe,2010-05-29,"Las Vegas, Nevada, USA",Red,False,Lightweight,29.0,Southpaw,170.18,165.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.0,Orthodox,175.26,172.72,155.0,0.0,1.0,0.0,2.0,6.0,4.0,3.0,0.0,1.0,17.0,0.0,13.4,0.35,0.1,1.3,0.52
